Animal_Name,Measure_Taken,Country,Effect_of_Measures
Elephant(Asian),"REDUCING HUMAN-ELEPHANT CONFLICT, HALTING POACHING AND STOPPING TRADE, PROTECTING ELEPHANT HABITAT, SECURING HEALTHY FORESTS","India,Sri lanka, Borneo, Sumatra",
Elephant(African),"PROTECTING AND MANAGING HABITATS,FIGHTING ILLEGAL WILDLIFE TRADE,MANAGING CONFLICT","Botswana, Tanzania, Zimbabwe, Kenya, Zambia, South Africa",
Panda,"increasing the area of panda habitat under legal protection, creating green corridors to link isolated pandas, patrolling against poaching, illegal logging, and encroachment, building local capacities for nature reserve management, continuing research and monitoring",China,
Amur_Leopard,"Increasing protected land: Establishing national parks in Russia and China, Reducing logging,Enforcing bans on trade,Reintroducing captive-bred leopards,Reducing human disturbance",Russia with a few in China,
Arctic Fox,"make sure fragile ecosystems are supported and protected,mitigate the effects of climate change","Alaska, Canada, Greenland, Russia, Norway, Scandinavia, Iceland",
Chimpanzee,"protect chimpanzees through antipoaching and effective law enforcement,help governments establish and manage national parks,monitor chimpanzee populations,encourage sustainable use of forest resources in park buffer zones,build trans-boundary collaboration to develop partnerships between neighboring countries","Angola, Burundi, Cameroon, Central African Republic, Rep. of Congo, Dem. Rep. of Congo, Côte d'Ivoire, Equatorial Guinea, Gabon, Ghana, Guinea, Guinea-Bissau, Liberia, Mali, Nigeria, Rwanda, Senegal, Sierra Leone, Sudan, Uganda",
Jaguars,"REDUCE HABITAT LOSS, DEGRADATION, FRAGMENTATION, ENABLE PREY BASE RECOVERY, REDUCE HUMAN-JAGUAR CONFLICT",Brazil,
Lion,"REDUCE CONFLICT WITH HUMAN, SAVE THEIR HABITAT, SAVE CAPTIVE LIONS",India,
Panther,"CAPTIVE BREEDING PROGRAMS AND RESEARCH, PUBLIC EDUCATION, REDUCED SPEEEDING ZONES","Southwestern China, Burma, Nepal, Southern India, Indonesia, the southern part of Malaysia",
Rhino(Black),"PROTECTING AND MANAGING KEY POPULATIONS,COMMUNITY-BASED CONSERVATION,EXPANDING BLACK RHINO RANGE,TACKLING WILDLIFE CRIME","South Africa, Namibia, Zimbabwe, Kenya",
Rhino(White),"STRENGTHENING LOCAL AND INTERNATIONAL LAW ENFORCEMENT, EFFECTIVE PUBLIC-PRIVATE PARTNERSHIPS, ","South Africa, Namibia, Zimbabwe, Kenya",
Rhino(Greater One-Horned Rhino),"RESTORING LANDSCAPES, MONITORING AND PROTECTION, WORKING WITH LOCAL COMMUNITIES, STRENGTHENING LAW ENFORCEMENT, TACKLING ILLEGAL WILDLIFE TRADE","Nepal, Bhutan, Pakistan",
Rhino(Javan),"ESTABLISHING A SECOND POPULATION, PROTECTING RHINOS FROM MAN-MADE THREATS, REINVIGORATING EXISTING HABITAT","Java, Indonesia",
Rhino(Sumatran),"MONITORING RHINO DISTRIBUTION AND POPULATION SIZE, MANAGING POPULATIONS, SUPPORTING RHINO PROTECTION UNITS","Sumatra,Borneo",
Orangutan,"CREATING AND MANAGING PROTECTED AREAS, ENFORCING LAWS AGAINST CAPTURE AND TRADE, REHABILITATION EFFORTS, SELECTIVE LOGGING TO PROTECT HABITAT","Indonesia, Malaysia",
Cheetahs,"CREATING WILDLIFE CORRIDORS, ANTI-POACHING INITIATIVES, COMMUNITY-BASED CONSERVATION, CHEETAH REINTRODUCTION PROGRAMS","Botswana, Namibia, Iran, Kenya, South Africa",
